[WARN] City slug not found in registry: slug=val-di-sangro-italy, manufacturer=STELLANTIS (SEVELSUD), raw_city='Val di Sangro (Atessa)', country='Italy'
[WARN] City slug not found in registry: slug=vitoria-spain, manufacturer=MERCEDES-BENZ GROUP, raw_city='Vitoria', country='Spain'
[WARN] City slug not found in registry: slug=flumeri-italy, manufacturer=INDUSTRIA ITALIANA AUTOBUS, raw_city='Flumeri', country='Italy'
[WARN] City slug not found in registry: slug=mirafiori-italy, manufacturer=STELLANTIS, raw_city='Mirafiori (Torino)', country='Italy'
[WARN] City slug not found in registry: slug=rorthais-france, manufacturer=IVECO GROUP, raw_city='Rorthais', country='France'
[WARN] City slug not found in registry: slug=sochaux-france, manufacturer=STELLANTIS, raw_city='Sochaux', country='France'
[WARN] City slug not found in registry: slug=stuttgart-zuffenhausen-germany, manufacturer=VOLKSWAGEN GROUP, raw_city='Stuttgart-Zuffenhausen', country='Germany'
[WARN] City slug not found in registry: slug=flins-france, manufacturer=RENAULT GROUP, raw_city='Flins', country='France'
[WARN] City slug not found in registry: slug=worth-germany, manufacturer=DAIMLER TRUCK, raw_city='Wörth', country='Germany'
[WARN] City slug not found in registry: slug=batilly-france, manufacturer=RENAULT (SOVAB), raw_city='Batilly (Metz)', country='France'
[WARN] City slug not found in registry: slug=cleon-france, manufacturer=EBUSCO, raw_city='Cléon', country='France'
[WARN] City slug not found in registry: slug=sandouville-france, manufacturer=RENAULT GROUP, raw_city='Sandouville', country='France'
[WARN] City slug not found in registry: slug=nosovice-czechia, manufacturer=HYUNDAI MOTOR EUROPE, raw_city='Nosovice', country='Czechia'
[WARN] City slug not found in registry: slug=libchavy-czechia, manufacturer=SOR, raw_city='Libchavy', country='Czechia'
[WARN] City slug not found in registry: slug=hordain-france, manufacturer=STELLANTIS (SEVELNORD), raw_city='Hordain', country='France'
[WARN] City slug not found in registry: slug=goodwood-united-kingdom, manufacturer=BMW GROUP, raw_city='Goodwood', country='United Kingdom'
[WARN] City slug not found in registry: slug=koln-germany, manufacturer=FORD OF EUROPE, raw_city='Köln', country='Germany'
[WARN] City slug not found in registry: slug=wroclaw-poland, manufacturer=VOLVO GROUP, raw_city='Wroclaw', country='Poland'
